model_name,turn,key,metric_score
qwen_14b,5,qwen_14b-5-4,0.30746847720659554
qwen_14b,5,qwen_14b-5-3,0.30746847720659554
qwen_14b,2,qwen_14b-2-0,0.3408297789841024
qwen_7b,2,qwen_7b-2-0,0.3408297789841024
qwen_14b,5,qwen_14b-5-0,0.30746847720659554
qwen_14b,4,qwen_14b-4-0,0.3312645461598138
qwen_7b,5,qwen_7b-5-3,0.30746847720659554
qwen_7b,5,qwen_7b-5-4,0.30746847720659554
qwen_7b,5,qwen_7b-5-1,0.30746847720659554
qwen_7b,5,qwen_7b-5-2,0.30746847720659554
qwen_14b,3,qwen_14b-3-0,0.32111692844677137
qwen_7b,4,qwen_7b-4-0,0.3312645461598138
qwen_7b,3,qwen_7b-3-0,0.32111692844677137
qwen_7b,5,qwen_7b-5-0,0.30746847720659554
qwen_14b,5,qwen_14b-5-1,0.30746847720659554
qwen_14b,5,qwen_14b-5-2,0.30746847720659554
