model_name,turn,key,acc_score,map_score
gemma_7b,1,gemma_7b-1-0,0.8108632395732299,0.9010669253152281
gemma_7b,2,gemma_7b-2-0,0.5363724539282251,0.7471710313611389
llama2_13b,1,llama2_13b-1-0,0.4093113482056256,0.6603621079857752
llama2_13b,2,llama2_13b-2-0,0.3734238603297769,0.6359521500161667
llama2_13b,3,llama2_13b-3-0,0.37536372453928224,0.6443582282573563
llama2_13b,4,llama2_13b-4-0,0.3627546071774976,0.638053669576464
llama2_13b,5,llama2_13b-5-0,0.37536372453928224,0.6401551891367613
llama2_13b,5,llama2_13b-5-1,0.3850630455868089,0.6556741028128037
llama2_13b,5,llama2_13b-5-2,0.3646944713870029,0.638215324927256
llama2_13b,5,llama2_13b-5-3,0.41028128031037825,0.6697381183317171
llama2_13b,5,llama2_13b-5-4,0.4510184287099903,0.6897833818299395
llama2_7b,1,llama2_7b-1-0,0.510184287099903,0.7208212091820246
llama2_7b,2,llama2_7b-2-0,0.4296799224054316,0.679275784028452
llama2_7b,3,llama2_7b-3-0,0.451988360814743,0.6946330423537027
llama2_7b,4,llama2_7b-4-0,0.4384093113482056,0.6846104106045918
llama2_7b,5,llama2_7b-5-0,0.4335596508244423,0.6812156482379575
llama2_7b,5,llama2_7b-5-1,0.44034917555771097,0.6815389589395416
llama2_7b,5,llama2_7b-5-2,0.4267701260911736,0.6770126091173626
llama2_7b,5,llama2_7b-5-3,0.44422890397672166,0.6899450371807313
llama2_7b,5,llama2_7b-5-4,0.48496605237633367,0.7124151309408353
