model_name,turn,key,acc_score,map_score
gemma_7b,1,gemma_7b-1-0,0.8108632395732299,0.9010669253152281
gemma_7b,2,gemma_7b-2-0,0.5363724539282251,0.7471710313611389
gemma_7b,3,gemma_7b-3-0,0.516003879728419,0.7373100549628201
gemma_7b,4,gemma_7b-4-0,0.47914645974781767,0.7167798254122222
gemma_7b,5,gemma_7b-5-0,0.46750727449078566,0.7101519560297455
gemma_7b,5,gemma_7b-5-1,0.45489815712900095,0.7014225670869713
gemma_7b,5,gemma_7b-5-2,0.37280701754385964,0.6578947368421053
llama2_13b,1,llama2_13b-1-0,0.4093113482056256,0.6603621079857752
llama2_13b,2,llama2_13b-2-0,0.3734238603297769,0.6359521500161667
llama2_13b,3,llama2_13b-3-0,0.37536372453928224,0.6443582282573563
llama2_13b,4,llama2_13b-4-0,0.3627546071774976,0.638053669576464
llama2_13b,5,llama2_13b-5-0,0.37536372453928224,0.6401551891367613
llama2_13b,5,llama2_13b-5-1,0.3850630455868089,0.6556741028128037
llama2_13b,5,llama2_13b-5-2,0.3646944713870029,0.638215324927256
llama2_13b,5,llama2_13b-5-3,0.41028128031037825,0.6697381183317171
llama2_13b,5,llama2_13b-5-4,0.4510184287099903,0.6897833818299395
llama2_7b,1,llama2_7b-1-0,0.510184287099903,0.7208212091820246
llama2_7b,2,llama2_7b-2-0,0.4296799224054316,0.679275784028452
llama2_7b,3,llama2_7b-3-0,0.451988360814743,0.6946330423537027
llama2_7b,4,llama2_7b-4-0,0.4384093113482056,0.6846104106045918
llama2_7b,5,llama2_7b-5-0,0.4335596508244423,0.6812156482379575
llama2_7b,5,llama2_7b-5-1,0.44034917555771097,0.6815389589395416
llama2_7b,5,llama2_7b-5-2,0.4267701260911736,0.6770126091173626
llama2_7b,5,llama2_7b-5-3,0.44422890397672166,0.6899450371807313
llama2_7b,5,llama2_7b-5-4,0.48496605237633367,0.7124151309408353
qwen_14b,1,qwen_14b-1-0,0.7032007759456838,0.8459424506951186
qwen_14b,2,qwen_14b-2-0,0.475266731328807,0.7175881021661826
qwen_14b,3,qwen_14b-3-0,0.446,0.6981666666666672
qwen_14b,5,qwen_14b-5-0,0.3802133850630456,0.6551891367604272
qwen_14b,5,qwen_14b-5-1,0.451988360814743,0.7010992563853874
qwen_14b,5,qwen_14b-5-2,0.4772065955383123,0.7135467183963798
qwen_14b,5,qwen_14b-5-3,0.4180407371483996,0.68137730358875
qwen_14b,5,qwen_14b-5-4,0.4626576139670223,0.7127384416424195
qwen_7b,1,qwen_7b-1-0,0.7032007759456838,0.8459424506951186
qwen_7b,2,qwen_7b-2-0,0.475266731328807,0.7175881021661826
qwen_7b,3,qwen_7b-3-0,0.44713870029097963,0.6986744261235054
qwen_7b,4,qwen_7b-4-0,0.39961202715809896,0.6708697057872626
qwen_7b,5,qwen_7b-5-0,0.3802133850630456,0.6551891367604272
qwen_7b,5,qwen_7b-5-1,0.451988360814743,0.7010992563853874
qwen_7b,5,qwen_7b-5-2,0.4772065955383123,0.7135467183963798
qwen_7b,5,qwen_7b-5-3,0.4180407371483996,0.68137730358875
qwen_7b,5,qwen_7b-5-4,0.4626576139670223,0.7127384416424195
